SKU,Title,Vendor,Price,"Barcode (ISBN, UPC, GTIN, etc.)",Cost
"=""BMR-70443""",FESTO Air Service Unit MSB6-1/2-C4-J1-F1-V34-WPB,FESTO,276.95,"=""MSB6-1""",120.0
"=""BMR-301934""",Sealing Cone Blank GS-52,GENERIC,71.95,"=""GS-52""",48.6
"=""BMR-10016717""",Lenze 3-phase Motor M55BP100M045E0EUC 2.2kW + Inverter E84DGDVB2224PS,LENZE,374.95,"=""E84DGDVB2224PS""",241.12
"=""BMR-10026517""",Fumator (Heinz Wagner) Filter Cartridge - ø325x300,FUMATOR HEINZ WAGNER,63.95,"=""10026517""",43.2
"=""BMR-97015""",FESTO 8 bar Multi-position Cylinder DNCP-40-60/60-PV2-S2-CS,FESTO,165.95,"=""DNCP-40-60""",112.4
"=""BMR-4126833""",Housing ø270 / ø456 - Filling Turbine,GENERIC,154.95,"=""4126833""",105.27
"=""BMR-775240""",Kluge & Neumann Drive Pulley ø112.0x1000 Lag ø40,KLUGE & NEUMANN,68.95,"=""775240""",46.06
"=""BMR-775251""",Kluge & Neumann Tail (Bend) Pulley ø112.0x1000 Lag ø40,KLUGE & NEUMANN,59.95,"=""775251""",40.65
"=""BMR-10016532""",Lenze Motor M55BP090M045E0EWC + Inverter E84DGDVB11242PS 1.1kW,LENZE,320.95,"=""M55BP090M045E0EWC""",205.93
"=""BMR-10016473""",Lenze 3-phase Motor M55BP090M045E0EWC 1.1kW + Inverter E84DGFCGFJPX201,LENZE,320.95,"=""E84DGFCGFJPX201""",205.93
"=""BMR-10016638""",Lenze 3-phase Motor M55BP100M045E0EUC 2.2kW + Inverter E84DGDVB2224PS,LENZE,374.95,"=""E84DGDVB2224PS""",241.12
"=""BMR-312912""",Worm Bearing Shell ø 60.0,GENERIC,86.95,"=""312912""",58.2
"=""BMR-309570""",Worm-gear Drive m=5 i=30:1,GENERIC,225.95,"=""309570""",153.96
"=""BMR-309568""",Worm-gear Drive m=5 i=30:1,GENERIC,256.95,"=""""",174.8
"=""BMR-4129461""",Helical Gear m=5 Z=100 ZB=50,GENERIC,293.95,"=""4129461""",200.16
"=""BMR-42630""",Drill bit ø25.5 mm Iscar,GENERIC,10.95,"=""42630""",7.2
"=""BMR-9009873""",5X Rubber cone G 1 1/4 - G 1 1/2,GENERIC,0.99,"=""9009873""",0.1
"=""BMR-760745""","Duerr Compressor System B-025/0536 1100 230V 0,28kW 10bar",DÜRR,176.95,"=""B-025""",120.0
"=""BDK-164A347""",Lenze Voltage Regulator 483ESO / 327678 3x390V,LENZE,839.95,"=""""",450.0
"=""PMT-GMXA1604PVT""",Solenoid-driven Diaphragm Metering Pump - unused,PROMINENT,1600.00,"=""GMXA1604PVT""",995.87
"=""PMT-DFXAEU0730SPTR""",Peristaltic Dosing Pump - unused,PROMINENT,3539.95,"=""DFXAEU0730SPTR""",1782.53
"=""PMT-S3CBH120270PVTS""",Motor-Driven Diaphragm Metering Pump - unused,PROMINENT,6719.95,"=""S3CB""",4412.97
"=""PMT-DFYA084100RE1P""",Peristaltic Metering Pump - unused,PROMINENT,7529.95,"=""DFYA084100RE1P""",4952.09
"=""LNZ-16568448""",Lenze g500 Helical Geared Motor G50BH114MVBR2C00 / MCA13I34-RS0P4 2.2kW - unused,LENZE,829.99,"=""G50BH114MVBR2C00""",404.01
"=""LNZ-15800145""","Lenze g500-B110 Direct mounting Geared Motor G50BB111MHAR2C / MHEMAXX090-32C1C 1,5kW - unused",LENZE,449.99,"=""G50BB111MHAR2C""",219.17
"=""LNZ-13567065""",Lenze Servo Drive E94ASHE0244 11kW,LENZE,3499.95,"=""E94ASHE0244""",335.18
"=""LNZ-15492016""","Lenze 3-Phase AC Asynchronous Motor MHEMAXX080-32C1C 0,75kW - unused",LENZE,448.95,"=""MHEMAXX080-32C1C""",222.46
"=""LNZ-15835127""",Lenze 3-Phase Motor MDEMABS100-32C1C 3kW - unused,LENZE,779.99,"=""MDEMABS10032C1C""",385.23
"=""LNZ-16325551""","Lenze MD 3-Phase AC Motor MDEMAIG063-42C1C 0,25kW - unused",LENZE,549.99,"=""MDEMAIG063""",274.25
"=""LNZ-16513948""","Lenze 3-Phase AC Motor MFEMABR071-32C1C 1,1kW - unused",LENZE,389.99,"=""MFEMABR071-32C1C""",192.35
"=""FAM-20064501""",1X Wago 750-425 2DI NAMUR  -  I/O System,WAGO,84.99,"=""750-425""",22.9
"=""FAM-20070619""",SIEMENS 6GK1503-2CB00  -  Optical Link Module PROFIBUS OLM/G11,SIEMENS,573.95,"=""6GK1503-2CB00""",104.61
"=""FAM-20068420""",SIEMENS 6GK1503-3CB00 -  Optical Link Module,SIEMENS,902.95,"=""6GK1503-3CB00""",61.06
"=""FAM-20116260""",SIEMENS 6SL3203-0BE32-5AA0  -  Sinamics Line Filter,SIEMENS,487.95,"=""6SL3203-0BE32-5AA0""",76.32
"=""FAM-20090786""",Turck RUC130-M30-LIAP8X-H1151  -  Ultrasonic Sensor,TURCK,677.95,"=""RUC130-M30-LIAP8X-H1151""",111.94
"=""FAM-20095297""",SIEMENS 6SL3224-0BE38-8UA0  -  Frequency Inverter,SIEMENS,8834.95,"=""6SL3224-0BE38-8UA0""",1460.5
"=""FAM-20100140""",Schneider Electric Analogue Output Module 140ACO02000C,SCHNEIDER ELECTRIC,914.95,"=""140ACO02000C""",195.99
"=""FAM-20100159""",Schneider Electric Analog Input Module 140ARI03010C,SCHNEIDER ELECTRIC,1219.95,"=""140ARI03010C""",245.65
"=""FAM-20101371""",Schneider Electric Adaptor Module 140CRA93200C,SCHNEIDER ELECTRIC,731.95,"=""140CRA93200C""",245.65
"=""FAM-20101365""",Schneider Electric RIO head-end adaptor Module 140CRP93200C,SCHNEIDER ELECTRIC,1523.95,"=""140CRP93200C""",260.14
"=""FAM-20100142""",Schneider Electric discrete output module 140DAO84000C,SCHNEIDER ELECTRIC,529.95,"=""140DAO84000C""",128.63
"=""FAM-20100143""",Schneider Electric Discrete Output Module 140DAO85300C,SCHNEIDER ELECTRIC,914.95,"=""140DAO85300C""",187.58
"=""FAM-20107801""",SIEMENS 6SL3055-0AA00-4CA5  -  SINAMICS Operator Panel,SIEMENS,610.95,"=""6SL3055-0AA00-4CA5""",58.87
"=""FAM-20132735""",SIEMENS JJY:023434020001  -  Braking Resistor,SIEMENS,427.95,"=""JJY023434020001""",59.99
"=""FAM-20102193""",GE FANUC IC694BEM331C  -  Genius Bus Controller,FANUC,1599.99,"=""K530207""",273.73
"=""FAM-20095291""",SIEMENS 6SL3000-0CE32-3AA0  -  Sinamics Line Reactor,SIEMENS,419.95,"=""6SL3000-0CE32-3AA0""",56.27
"=""FAM-20116263""",SIEMENS 6SL3000-2BE32-1AA0  -  Sinamics Motor Inductor,SIEMENS,962.95,"=""6SL3000-2BE32-1AA0""",120.53
"=""FAM-20140189""",WEG Explosion-proof Motor 00112ET3PCT145TF1-W2,WEG,299.99,"=""00112ET3PCT145TF1-W2""",46.3
"=""FAM-20125440""",SIEMENS 6SL3210-1PE22-7AL0  -  Frequency Inverter,SIEMENS,792.95,"=""6SL3210-1PE22-7AL0""",121.45
"=""FAM-20125278""",SIEMENS 6SL3210-1PE28-8AL0  -  Frequency Inverter,SIEMENS,2742.95,"=""6SL3210-1PE28-8AL0""",372.54
"=""FAM-20125591""",SIEMENS 6SL3210-1PE31-1AL0  -  Frequency Inverter,SIEMENS,3054.95,"=""6SL3210-1PE31-1AL0""",427.54
"=""FAM-20089113""",SIEMENS 6SL3225-0BH33-7AA1  -  Frequency Converter,SIEMENS,12149.95,"=""6SL3225-0BH33-7AA1""",958.32
"=""FAM-20127728""",Baumer Electric Absolute Encoder GXMMW A208EA2,BAUMER ELECTRIC,520.95,"=""A208EA2""",78.36
"=""FAM-20128681""",Schneider Electric Pelco Camera S6230-EG1,SCHNEIDER ELECTRIC,1804.95,"=""S6230EG1""",263.0
"=""FAM-20114355""",SIEMENS 6GK7542-5FX00-0XE0  -  Communications Processor,SIEMENS,677.95,"=""6GK7542-5FX00-0XE0""",54.9
"=""FAM-20111774""",Federal Signal Strobe Light 151XST-S120R Red,FEDERAL SIGNAL,474.95,"=""151XST-S120R""",78.41
"=""FAM-20070604""",SIEMENS 6SL3244-0BA20-1PA0  -  SINAMICS Control Unit,SIEMENS,1282.95,"=""6SL3244-0BA20-1PA0""",125.71
"=""FAM-42272""",SKF 23230 CCK/W33  -  Spherical roller bearing 150x270x96 mm,SKF,914.95,"=""23230-CCK-W33""",125.71
"=""FAM-20115190""",Schneider Electric LTMR08EFM Motor controller TeSys T-940487,SCHNEIDER ELECTRIC,356.95,"=""LTMR08EFM""",46.2
"=""FAM-20113864""",Parker Hydraulic D1VW030BNJW  -  Directional Control Valve,PARKER HYDRAULIC,81.95,"=""D1VW030BNJW""",43.4
"=""FAM-20094823""",SICK DL50-P1123  -  Sensor,SICK,316.95,"=""DL50P1123""",36.12
"=""FAM-20095177""",SIEMENS 6SL3040-1MA00-0AA0 -  Control Unit CU320-2 DP,SIEMENS,731.95,"=""6SL3040-1MA00-0AA0""",76.57
"=""FAM-20101440""",Federal Signal Horn 350WBX-120 Series A,FEDERAL SIGNAL,339.95,"=""350WBX-120""",51.9
"=""FAM-24000""",ZKL 23138 CCK/W33  -  Spherical roller bearing 190x320x104 mm,ZKL,731.95,"=""23138-CCK-W33""",106.52
"=""FAM-20100165""",Schneider Electric Racks backplane 140XBP01000C - 10 free slots,SCHNEIDER ELECTRIC,406.95,"=""140XBP01000C""",93.11
"=""FAM-20019552""",SIEMENS 6ES7331-1KF01-0AB0  -  Simatic Analog Input Module SM331,SIEMENS,510.95,"=""6ES7331-1KF01-0AB0""",76.68
"=""FAM-20036756""",SKF 23040-CC/W33  -  Spherical roller bearing 200x310x82 mm,SKF,792.95,"=""23040-CC-W33""",95.93
"=""FAM-20129651""",SIEMENS 6SL3202-0AE22-0SA0  -  Sinamics Sine-wave Filter,SIEMENS,243.95,"=""6SL3202-0AE22-0SA0""",41.98
"=""FAM-20048769""",Pepperl+Fuchs Rotation Speed Monitor KFU8-DW-1D,PEPPERL+FUCHS,203.95,"=""KFU8-DW-1D""",48.49
"=""FAM-20117120""",Allen Bradley 1756-IA16I ControlLogix Input Module,ALLEN BRADLEY,252.95,"=""1756-IA16I""",46.86
"=""FAM-20058143""",Pepperl+Fuchs Rotation Speed Monitor KFD2-DWB EX1D,PEPPERL+FUCHS,270.95,"=""KFD2-DWB EX1D""",52.97
"=""FAM-20039011""",Turck BIM-G18-Y1/S926  -  Proximity Switch Sensor,TURCK,113.95,"=""BIM-G18-Y1-S926""",15.77
